Year, Lap time, Average speed
1950,69.77,128.995
1951,67.26,133.809
1952,66.60,135.135
1953,66.24,135.870
1954,64.04,140.537
1955,63.67,141.354
1956,62.32,141.416
1957,62.75,143.426
1958,62.37,144.300
1959,61.89,145.419
1960,61.59,146.128
1961,60.98,147.589
1962,60.69,148.295
1963,59.39,151.541
1964,57.09,157.646
1965,57.14,157.508
1966,56.54,159.179
1967,54.57,164.926
1968,53.36,168.666
1969,54.05,166.512
1970,53.64,167.785
1971,51.44,174.961
1972,47.99,187.539
1973,48.15,186.916
1974,47.02,191.408
1975,48.10,187.110
1976,48.38,186.027
1977,46.71,192.678
1978,46.41,193.924
1979,46.58,193.216
1980,47.35,190.074
1981,45.70,196.937
1982,44.88,200.535
1983,45.568,197.507
1984,43.942,204.815
1985,43.916,204.937
1986,43.031,209.152
1987,43.900,205.011
1988,42.956,209.517
1989,40.455,222.469
1990,40.436,222.574
1991,40.508,222.178
1992,39.281,229.118
1993,41.898,214.807
1994,40.783,220.680
1995,40.177,224.009
1996,38.119,236.103
1997,41.739,215.626
1998,41.908,214.746
1999,41.118,218.882
2000,41.191,218.494
2001,40.941,219.830
2002,39.735,226.499
2003,39.2692,229.187
2004,41.2086,218.401
2005,39.4560,228.102
2006,40.6778,221.251
2007,40.2829,223.420
2008,40.1720,224.037
2009,40.5325,222.044
2010,39.9840,225.090
2011,40.0593,224.667
2012,40.8771,220.172
2013,39.6580,226.940
2014,39.9661,225.191
2015,39.6979,226.712
2016,39.9488,225.288
2017,39.7896,226.190
2018,40.1538,224.138
2019,39.8220,226.006